,,UNIQUE DATE,avg CH4 (ppm),AT (C),H2S (ppb),RH (%),SO2 (ppb),WD (deg),WD_STD (deg),avg WS (km/h),WS_STD (km/h),BP_2 (mB),DEW_2 (C),PAR_16 (umol m-2 s-1),avg SR_29 (W/m2),VW20 (km/h),VW20_STD (km/h),GR (W/m2)
1,307,2020-01-25,2.302333333,-4.366666667,0.466666667,89.6,0.633333333,156.6333333,65.26666667,2.933333333,1.3,968.3333333,-6.640333333,13.35333333,27.29766667,0.066666667,0.7,2.666666667
2,309,2020-01-27,2.230666667,0.291666667,0.291666667,78.76666667,0.841666667,157.1416667,25.24166667,6.991666667,2.058333333,970.0833333,-3.122583333,53.07641667,81.2505,0.091666667,1.233333333,64.55833333
1,310,2020-01-28,2.147666667,-5.766666667,0.4,93.13333333,0.466666667,140.7,12.26666667,12.36666667,2.6,971,-6.422666667,0,0.093,0.433333333,0.933333333,0
1,311,2020-01-29,2.243333333,-6.466666667,0.466666667,76.8,7.9,146.1666667,19.86666667,10.73333333,3.3,966.3333333,-9.031333333,116.5566667,142.47,0.2,1.233333333,122.5
1,312,2020-01-30,2.403428571,2.114285714,0.914285714,56.85714286,3.2,156.5714286,19.31428571,11.92857143,3.271428571,962.8571429,-5.339857143,22.41314286,18.03985714,-0.171428571,1.714285714,2.028571429
1,313,2020-01-31,2.365333333,1.166666667,1.066666667,69.83333333,5.666666667,177,47.6,6.766666667,4.9,955,-4.429333333,0,0.079,-0.433333333,1.666666667,0
3,316,2020-02-03,2.118666667,-16.63333333,0.233333333,69.36666667,1.2,151.1,19.43333333,7.9,1.933333333,980.6666667,-21.18,36.288,20.73533333,0.033333333,1,2.733333333
1,317,2020-02-04,2.428,-17.1,0.9,80.4,2,142.5,14,7.5,1.5,969,-18.01,0.128,0.198,-0.6,0.7,3.3
2,319,2020-02-06,2.067,-13.2,0.1,80.7,0.8,140.3,24.8,7,3.2,964,-16.8,0,0,0.3,1.2,0
2,321,2020-02-08,2.499,-7.1,0.6,89.9,0.9,140.5,22.2,6.1,1.9,974,-8.17,0.828,2.102,-0.5,0.7,0
1,322,2020-02-09,2.3825,-13.5,1.25,87.55,2.6,178.25,78.95,1.5,0.95,968,-12.21,0,0.103,-0.3,0.6,0
1,323,2020-02-10,2.4045,-8.225,0.65,82.3,1.725,168.775,54.525,5.2,2.625,975,-9.715,9.2565,17.07675,-0.35,1.175,23.475
3,326,2020-02-13,2.1405,-9.07,0.65,82.42,6.18,149.86,23.01,10.02,3.28,957.3,-12.331,23.0739,35.2485,0.23,1.37,32.54
5,331,2020-02-18,1.9245,-15.125,0.375,55.625,0.9,143.525,17.175,11.65,2.8,988.75,-22.55,43.1975,131.672,0.3,1.225,69.475
1,332,2020-02-19,1.924,-11.925,0.675,61.75,4.3,144.1,17.45,12.65,3.475,982.5,-17.8125,11.69,24.74275,0.525,1.625,2.65
6,338,2020-02-25,2.066,-15.16666667,0.9,74.66666667,1.466666667,144.5666667,34.86666667,3.966666667,1.866666667,990,-19.55666667,59.58,36.722,-0.2,1.033333333,38.66666667
1,339,2020-02-26,2.1125,1.35,1.9,51.2,18.55,152.35,54,2.95,1.5,973,-8.865,312.9,191.3,0.15,0.65,48.9
1,340,2020-02-27,2.393,1.1,1.2,71.7,1.1,140.3,11.5,11.3,2.2,968,-5.438,0,0.073,0.4,0.7,0
1,341,2020-02-28,1.950333333,2.333333333,0.566666667,74.1,3.2,149.0333333,19.66666667,11.8,3.866666667,966,-2.864333333,0,0.087333333,-0.1,1.866666667,0
2,343,2020-03-01,2.1234,-3.36,1.91,66.03,12.24,168.1,30.89,10.92,3.81,961.9,-10.5935,172.009,109.5317,-0.3,2.17,129.51
1,344,2020-03-02,2.158,-0.9,3.5,72.5,31.5,190,104.2,1.6,1.8,950,-4.726,0,0,-0.9,1.7,0
2,346,2020-03-04,2.306,-3.1,2.9,91.9,6.1,151.9,89,1.4,1.8,955,-4.911,0,0.071,0,0.5,0
4,350,2020-03-08,1.9376,-11.12,0.16,56.1,3.34,149,31.06,9.04,3.3,977.6,-18.798,509.2,311.2,-0.04,1.6,290.42
1,351,2020-03-09,2.1034,-0.48,0.24,39.88,0.82,160.6,15.32,9.38,2.24,970,-11.908,76.0908,55.8934,0.14,0.92,6.9
1,352,2020-03-10,2.438375,4.4625,1.25,46.575,9.6,171.3875,27.25,8.8375,3.1875,955.875,-6.5805,197.946125,107.207625,-0.3625,1.725,82.375
4,356,2020-03-14,2.211,-12.46,0.42,41.44,3.64,161.78,22.06,7.5,2.3,998.6,-24.288,27.032,21.7246,-0.34,1.1,1.28
1,357,2020-03-15,2.194,-14.8,0.3,49.6,2.1,142.9,17.7,13.2,3.5,998,-23.95,0,0.069,-0.2,1.4,0
4,361,2020-03-19,2.03,-5.95,0.35,50.85,3.5,145.3,19.05,9.45,2.6,991,-16.505,0,0.0865,0.3,1.15,0
1,362,2020-03-20,2.021,-4.2,0.2,48.4,1.55,142.65,18.25,7.65,1.9,985,-14.145,96.2,62.1445,0.2,0.8,5.6
1,363,2020-03-21,2.141,-1.2,0.2,61,2.1,174.5,60.6,7.6,5.1,972,-11.03,358.9,187.7,-0.6,2.1,418.2
3,366,2020-03-24,2.0105,-9.625,0.75,47.4,24.925,142.45,16.05,8.7,2.3,975.5,-19.575,64.0525,42.16175,0.25,0.775,3.875
1,367,2020-03-25,2.58975,-1.625,0.95,64.725,6.425,158.975,17.8,8.3,2.2,961.5,-9.2675,8.985,5.13625,-0.175,0.875,0.05
1,368,2020-03-26,2.179,0.25,0.35,57.85,1.95,141.85,27.45,8.75,2.45,955,-7.9435,258.15,138.947,-0.3,1.5,93.8
8,376,2020-04-03,2.001,-5.38,0.62,45.6,5.34,172.38,46.9,4.68,1.92,980.4,-15.548,561.98,323.88,-0.12,1.22,176.6
1,377,2020-04-04,1.9656,0.06,1.04,32.54,9.48,156.76,33.2,6.92,2.66,976.8,-15.346,783.5,440.74,0.24,1.4,315.04
1,378,2020-04-05,2.013,-1.78,0.28,50.12,3.46,156.86,49.64,7.32,2.88,975.6,-12.002,641.46,368.8614,-0.08,1.68,371.88
1,379,2020-04-06,1.976875,-1.9625,0.3125,60.8625,2.8375,161.3,40.4875,7.0125,2.7625,966.875,-8.581625,290.275,155.726625,0.025,1.6,164.775
7,386,2020-04-13,2.0345,1.4,0.15,33.35,0.4,143.85,18.1,9,2,977.5,-13.745,155.6,86.075,0.3,1.1,38.4
2,388,2020-04-15,1.943,-1.3,0,63.1,0.3,164.2,69.9,1.8,1.4,987,-8.65,20.85,14,0.5,0.7,0
1,389,2020-04-16,2.032,12.875,0.4,28.5,5.05,160.95,40.95,8.375,3.45,970.25,-5.48175,942.7,519.4,-0.25,2,417.075
2,391,2020-04-18,2.049,7.8,0.4,41.6,7.1,141,69.6,4.1,3.4,971,-5.802,718.9,377.9,0,1.4,209.1
2,393,2020-04-20,1.946,2.7,0.2,48.3,7.8,140.7,34.5,8.6,3.4,971,-8.56,454.4,234.6,0.1,1.7,181.4
2,395,2020-04-22,2.576333333,9.933333333,2.6,66.86666667,21.23333333,162.0333333,40.66666667,6.966666667,2.566666667,962,2.981333333,204.5933333,115.52,-0.2,1.166666667,39.23333333
1,396,2020-04-23,2.013,1.5,0.5,97.4,0.2,174.4,87.8,0.4,1.2,964,2.089,0,0.099,0,0.4,0
1,397,2020-04-24,2.085833333,8.366666667,0.45,70.33333333,3.083333333,149.8,41.21666667,8.216666667,3.166666667,973.5,2.996333333,382.875,214.5608333,0.066666667,1.4,229.4833333
1,398,2020-04-25,2.333333333,18.7,1.45,22.83333333,15.76666667,173.7,34.2,8.166666667,3.833333333,962.1666667,-4.680166667,640.6666667,359.88,-0.6,2.5,301.7333333
11,409,2020-05-06,1.953,22.5,0.2,21.8,11.2,154.3,79,2.7,3,978,-0.945,946,508.9,0,1.9,447.7
1,410,2020-05-07,2.052,6.2,1,61.9,7.7,180.8,73,0.9,1.6,982,-2.944,0.134,0.231,0.2,0.7,11.1
4,414,2020-05-11,2.020285714,11.47142857,1.2,25.14285714,9.942857143,158.4857143,36.08571429,7.042857143,2.757142857,981.5714286,-9.85,403.1442857,224.7961429,0.157142857,1.385714286,253.0285714
1,415,2020-05-12,2.330333333,10.8,5.5,30.06666667,64.26666667,177.0333333,20.03333333,8.633333333,2.566666667,969.6666667,-7.916333333,43.75233333,28.647,-0.433333333,1.233333333,2.466666667
2,417,2020-05-14,2.007,1.9,1.6,51.8,4.95,144.3,24.15,5.9,1.75,977,-8.765,8.641,5.916,0.2,0.55,0.1
2,419,2020-05-16,1.988333333,14.7,1.466666667,53.66666667,21.2,194.4333333,48.2,10.43333333,5.133333333,969,-0.285333333,793.982,424.0926667,-0.333333333,2.2,342.6666667
7,426,2020-05-23,2.49,12.325,3.725,51.3,8.65,171.25,27.025,6.125,2.05,971,2.161,168.0645,95.48975,-0.3,1.025,28.175
1,427,2020-05-24,2.327,6,3.6,86.9,7.2,191,73.3,1.8,2.5,970,2.318,0,0.135,-0.3,0.8,0
5,432,2020-05-29,1.958,19,0,29,0.7,145.6,71.9,2.3,2.7,983,-1.06,1474,781.9,0.1,2,767.5
2,434,2020-05-31,1.984,24.4,0.9,41.4,7.5,144.5,34.7,15.6,9.1,961,8.95,944,485.3,0.6,3.2,410.3
1,435,2020-06-01,2.193,11.1,2.5,75.5,16.3,154.3,55.5,3,1.6,967,6.018,59.26,37.14,-0.5,0.5,2.5
1,436,2020-06-02,2.0095,11.35,1.15,74.95,3.85,159.05,44.4,4.7,2.3,968,6.2855,207.101,115.3005,-0.25,1,165.45
7,443,2020-06-09,1.9875,12.5,0.35,87.8,2.15,155.75,76.85,0.9,1.6,968.5,8.7425,120.895,62.5545,-0.15,0.9,36.5
1,444,2020-06-10,2.121,9.8,1.9,97.7,0.4,140.2,96.9,0.4,1.2,969,9.3,0.037,0.065,-0.3,0.3,0
4,448,2020-06-14,2.0315,22.5,0.9,63.05,3.65,146.3,32,8.15,4.2,957,15.98,140.0815,71.21,0.25,2.1,18.6
1,449,2020-06-15,2.032,18.88888889,1.366666667,71.2,8.844444444,168.1666667,34.45555556,8.922222222,3.9,957.8888889,13.14888889,401.8814444,213.441,-0.111111111,2.233333333,183.1666667
1,450,2020-06-16,2.108,10.9,1.7,83.65,25.95,183.25,37.25,3.6,2.15,963.5,7.8535,26.611,13.3205,-0.25,0.85,35.25
3,453,2020-06-19,1.965,26.4,0.1,21.9,5.6,167.1,74.8,2.7,3.2,970,-2.542,1295,685.8,-0.5,1.6,534.3
1,454,2020-06-20,1.9585,21.7,1.1,42.5,7.65,150.05,32.45,9.8,4.05,969,6.992,674.15,355,0.55,2.25,206.1
1,455,2020-06-21,2.018333333,20.56666667,1.033333333,49.98888889,12.35555556,145.6222222,35.56666667,7.422222222,2.888888889,970.1111111,7.551666667,519.3266667,281.5501111,0.155555556,1.922222222,261.3111111
1,456,2020-06-22,2.1845,20.1,2.3,47.7,52.45,169.4,23.2,6.95,2.15,971,7.273,24.716,14.36,-0.2,0.95,2.8
1,457,2020-06-23,2.341,20.375,3.175,53.875,22.9,160.175,52.45,4.375,3.275,969.5,9.37425,456.774,237.17325,-0.3,1.3,214.15
1,458,2020-06-24,2.082,23,1.9,44.5,21.8,150.4,100.7,1.4,3.2,968,7.924,653.5,557.4,0.5,1.4,638.9
1,459,2020-06-25,2.0805,19.425,1.25,57.275,16.45,170.65,73.225,1.725,2.125,967,8.70475,237.97075,125.297,-0.35,1.1,54.75
1,460,2020-06-26,2.052,15.9,1.35,69.7,4.95,175.8,49.45,2.85,2.05,966.5,10.83,113.571,65.269,-0.05,0.85,87.35
1,461,2020-06-27,2.033,13.9,0.9,91.2,0.9,140.4,71.2,4,2.7,963,12.9,54.53,26.15,-0.5,1.6,35.9
1,462,2020-06-28,2.364,13.6,1,94.8,0.4,168.1,95.4,0.3,1.2,964,11.56,0.075,0.074,-0.3,0.9,0
5,467,2020-07-03,2.404,18.4,2.8,63.55,25.625,166.075,54.85,2.825,1.8,967.5,8.58775,79.74075,49.18425,-0.3,0.775,10.15
1,468,2020-07-04,2.0674,20.58,0.94,53.02,4.02,159,47.84,5.76,2.94,972,8.3698,734.013,389.4856,-0.1,1.82,403.68
2,470,2020-07-06,2.162,21.86,5.06,46.3,1.32,158.78,28.54,5.5,2.18,968.6,7.6748,327.0762,178.0918,-0.04,1.36,81.04
4,474,2020-07-10,2.026666667,17.86666667,1.6,78.36666667,2.133333333,179.7,42.53333333,5.333333333,2.8,969.3333333,12.96,321.4333333,167.8366667,-0.366666667,1.866666667,146.4333333
1,475,2020-07-11,2.112,21.2,2.3,59.9,12.7,145.6,31.5,6.3,4.5,968,11.41,21.06,13.24,0.5,2.3,2.7
1,476,2020-07-12,2.047,19.5,0.4,65.1,1,150,72.7,2.3,5.3,968,11.26,0.009,0.006,0.5,1.8,0
4,480,2020-07-16,2.126666667,20.03333333,2,71.1,3.9,156.7333333,47.7,4.666666667,3.1,966,11.31666667,413.8,213.7433333,-0.166666667,1.533333333,112.4
1,481,2020-07-17,1.969,15.3,0,92.4,0.2,177.5,51.7,3.1,1.5,966,14.7,0.001,0.001,0.9,1.4,0
1,482,2020-07-18,2.266,13,0.7,97.2,0.2,143.7,93.3,0.4,1.1,973,11.45,2.224,1.106,0,0.7,0
1,483,2020-07-19,2.473,12,1.7,97.8,0.2,142.6,75.4,0.5,1.1,973,10.73,0.001,0.001,0.1,0.4,0
2,485,2020-07-21,2.047,18.68,3.92,83.48,3.2,162.06,36.02,6.8,2.82,967.2,15.448,244.1608,125.2688,0.04,1.48,85.72
1,486,2020-07-22,2.041,23.38333333,2.616666667,64.33333333,0.883333333,166.5666667,46.23333333,5.2,2.883333333,964.1666667,15.415,562.1838333,292.1345,0.016666667,1.733333333,213.7333333
7,493,2020-07-29,2.232,18.2,4,93.3,3.3,191.4,48.6,5.3,2.6,975,16.68,0.111,0.047,0,1.4,0
3,496,2020-08-01,2.086666667,24.73333333,6.9,46.2,4.1,149.4666667,29.5,6.833333333,2.566666667,977,11.29666667,49.21033333,28.766,0.333333333,1.833333333,2.8
1,497,2020-08-02,2.093,22.5,4.1,54.8,1,141.8,33.9,6.6,2.5,977,10.96,0.001,0,0.3,1.6,0
1,498,2020-08-03,2.279,21.93333333,2.166666667,72.56666667,14.53333333,160.4,43.3,4.466666667,2.2,968.6666667,16.27333333,212.0953333,115.396,-0.166666667,1.3,100.6666667
1,499,2020-08-04,2.312,20.5,2.2,72.9,32.8,192.8,36.2,4.3,2.5,969,16.19,0.003,0,-0.5,1.2,0
1,500,2020-08-05,2.13,18.73333333,5.9,64.76666667,2.166666667,151.9,46.8,5.233333333,2.333333333,969,10.08333333,171.06,172.813,0.066666667,1.333333333,276.8
5,505,2020-08-10,2.082,15,0.9,87.6,8.8,189.3,57.6,3.8,2.3,964,12.2,67.51,33.56,-0.5,1.1,222.2
1,506,2020-08-11,2.056,18.6,2.1,61.1,2,163.35,66.05,3.85,2.7,967,9.665,842.65,494.55,-0.1,1.65,581.75
1,507,2020-08-12,2.201,12,2.925,81.6,4.125,175.775,43.725,8.175,3.525,963.25,9.19425,1.35825,0.59025,-0.35,2.125,0.125
1,508,2020-08-13,2.244666667,11.51666667,3.55,80.2,3.95,178.2833333,32.06666667,10.71666667,3.816666667,962.8333333,8.573333333,4.994666667,2.812,-0.533333333,2.55,11.26666667
3,511,2020-08-16,2.111,8.8,0.3,93.6,0.1,158.2,86.4,0.7,1.3,977,6.78,0.004,0,0.4,0.7,0
2,513,2020-08-18,1.997,21.75,3.05,64,8.3,161.2,48.95,5.25,3,972.5,15.07,512.5015,262.1,-0.1,1.85,289.7
1,514,2020-08-19,1.994,15,0.8,88.3,4.8,188.2,35.6,5.4,2.2,968,13.3,1.226,0.562,-0.5,1.3,19.5
1,515,2020-08-20,2.245,15.2,1.45,75.1,2.1,161.45,67.6,2.2,1.9,970.5,8.363,108.8,161.32,-0.25,1,273.2
5,520,2020-08-25,2.219,16.6625,6.45,76.9375,2.5,152.6375,33.1625,7,2.5875,968.25,11.8925,208.979625,172.10925,-0.075,1.525,151.0125
1,521,2020-08-26,2.429,13.26,4.16,80.42,5.34,169.68,32.98,4.46,1.4,967,9.63,22.779,24.7292,-0.1,0.88,76.14
1,522,2020-08-27,2.207666667,11.36666667,2.3,85.23333333,5.133333333,164.8666667,35.6,3.866666667,1.466666667,968,8.115333333,0.001333333,0,-0.233333333,0.633333333,0
1,523,2020-08-28,2.005,18.5,0.4,62.3,0.9,146.9,30.2,4.3,1.2,972,9.25,407.3,326.5,0.2,1.2,80.6
1,524,2020-08-29,2.31,13.54285714,9.714285714,89.42857143,1.785714286,160.2857143,40.15714286,4.1,1.871428571,964.8571429,11.50142857,129.0414286,66.88885714,-0.071428571,1.1,123.6
4,528,2020-09-02,2.14,10.2,0.5,88.2,2.9,192.4,76.3,1.6,1.4,960,6.555,0.007,0.03,-0.3,0.3,0
2,530,2020-09-04,2.177666667,14.73333333,2.233333333,81.83333333,1.3,153.0333333,49.8,3.933333333,1.933333333,975,10.21,575.5333333,313.9,-0.033333333,1.1,301.9666667
1,531,2020-09-05,2.043,13.5,0.7,80.1,6.3,173.8,62,2.7,1.7,974,10.41,120,62.46,-0.5,1,125
2,533,2020-09-07,2.0388,7.4,2.72,59.34,2.8,151.1,27.08,7.74,2.26,990.6,0.4686,64.8412,37.8262,0.22,1.46,4.38
1,534,2020-09-08,2.0384,6.94,3.02,67.38,0.8,144.24,25.48,11.76,3.64,984.4,0.5894,0.6826,0.3142,0.32,2.16,3.66
1,535,2020-09-09,2.2635,8.35,1.95,93.4,0.45,142.55,31.35,5.1,1.7,977.5,5.6735,0.0085,0.02,-0.35,0.8,0
3,538,2020-09-12,2.053,8.7,0.2,76.8,0.4,144.7,51.4,2.2,0.8,978,3.267,243.4,142.3,0.1,0.4,10.7
1,539,2020-09-13,2.211,5.95,1.983333333,88.81666667,0.916666667,158.3833333,45.3,5.233333333,1.883333333,979.8333333,2.6025,29.43166667,15.99283333,0.116666667,1.083333333,33.26666667
1,540,2020-09-14,2.124,5.6,0.4,82.4,0.9,150.1,51.1,1.5,0.9,982,0.758,168.7,104.5,-0.1,0.3,11.3
1,541,2020-09-15,2.3615,4.4,1.85,88.95,1.9,150.65,38.9,4.45,1.4,979.5,0.735,0.0095,0.0285,-0.3,0.5,0
1,542,2020-09-16,2.127,-0.2,1.15,88.35,2.7,144,23,7.6,2.2,985,-4.217,0.4465,0.431,0.1,1.2,3.95
2,544,2020-09-18,2.540428571,18.54285714,3.442857143,61.75714286,3.771428571,157.8571429,25.85714286,5.114285714,1.628571429,968.1428571,9.461714286,270.3715714,155.3411429,-0.071428571,1.271428571,82.12857143
4,548,2020-09-22,2.118333333,10.33333333,0.666666667,73.93333333,3.866666667,162.3,53.06666667,4.366666667,1.866666667,975.3333333,4.181,125.397,113.688,-0.1,1,105
1,549,2020-09-23,2.187,6.8,0.6,85.8,0.2,142,18.8,6.1,1.5,973,3.649,0,0.024,0.1,1.4,0
2,551,2020-09-25,2.075,16,0.7,66.3,9.1,144.7,16.5,4,1,954,10.1,231.9,193.4,0,0.7,28.1
2,553,2020-09-27,2.057,10.6,1.6,77.76666667,0.4,159.1333333,38.9,8.8,2.7,978,5.928333333,49.13333333,25.819,0.133333333,1.366666667,11.66666667
1,554,2020-09-28,2.0598,10.38,2.44,73.3,4,143.62,17.98,15.42,4.46,972.6,5.98,0,0.044,0.22,2.36,0
1,555,2020-09-29,2.08,11.3,0.3,63.5,4.9,163.1,76.4,2.3,3.3,968,3.122,0,0.045,-0.8,1.1,0
1,556,2020-09-30,2.07,4.5,0.6,87.4,0.1,146.2,81.5,1,1.5,990,0.754,0,0.055,0.2,1,0
1,557,2020-10-01,2.0816,8.46,1.56,73.24,4.34,149.48,24.48,9.36,2.98,979.6,3.2192,132.8628,69.1404,0.1,1.22,62.56
2,559,2020-10-03,2.292875,18.1375,2.775,45.8875,1.2875,150.3625,17.6125,9.6875,2.3875,969,6.3485,246.5885,136.688,-0.0125,1.425,76.875
1,560,2020-10-04,2.92,12.9,3.2,86.6,11.3,161.7,67.6,3.9,2,963,10.19,0,0.022,-0.3,0.7,0
1,561,2020-10-05,2.251,11.1,0.9,79.1,1.4,171.8,83.5,0.8,0.9,963,3.586,103.9,54.7,-0.3,0.9,26.1
2,563,2020-10-07,2.1285,7.7,0.9,88.275,1.3,145.2,31.325,5.375,1.525,976.5,4.09925,72.7975,38.94575,0.025,0.675,15.75
1,564,2020-10-08,2.202,5.8,0.6,91.2,0.5,140.2,13.9,8.1,1.7,974,2.501,0,0.029,0.2,0.9,0
1,565,2020-10-09,2.023285714,5.714285714,0.757142857,74.74285714,3.028571429,151.9428571,26.52857143,9.785714286,3.528571429,969.4285714,2.297428571,151.2697143,78.24028571,0.314285714,1.528571429,66.34285714
10,575,2020-10-19,2.196357143,-2.578571429,0.957142857,57.30714286,9.75,167.5071429,29.16428571,6.857142857,2.321428571,976.2857143,-9.019928571,117.3542857,63.48078571,0.035714286,1.142857143,46.75
1,576,2020-10-20,2.084666667,-3.733333333,0.3,72.36666667,3.133333333,190.2666667,67.76666667,1.233333333,1.066666667,975.6666667,-8.833333333,0.072666667,0.071333333,-0.233333333,0.533333333,2.533333333
3,579,2020-10-23,2.095333333,-6.166666667,0.9,77.85,16.2,172.2166667,59.78333333,2.25,1.266666667,991.5,-10.89166667,0.011666667,0.049666667,-0.3,0.583333333,1.133333333
2,581,2020-10-25,2.252,-3.063636364,0.681818182,52.97272727,7.118181818,161.5636364,25.94545455,7.881818182,2.609090909,982.4545455,-11.67636364,177.5057273,136.0971818,-0.272727273,1.727272727,127.9545455
1,582,2020-10-26,2.114833333,0.75,0.533333333,55.7,3.133333333,154.0333333,23.2,8.75,2.816666667,968.3333333,-7.556833333,39.95066667,21.98566667,0.15,1.3,5.466666667
1,583,2020-10-27,2.075,-1,0.4,93.8,0.7,153.4,23.8,8.9,2.7,956,-2.609,0,0.034,0.1,1,0
1,584,2020-10-28,2.070428571,-3.457142857,0.428571429,81.45714286,1.771428571,151.6285714,21.7,10.81428571,3.014285714,976.2857143,-6.768571429,54.23885714,80.65757143,0.271428571,1.371428571,61.68571429
3,587,2020-10-31,2.1432,-2.68,0.76,80.77,1.24,147.36,18.88,10.53,2.62,976.5,-6.4805,45.9338,86.3261,0.27,1.19,64.77
1,588,2020-11-01,2.139,2.3,2.2,86,13.2,178.3,43.55,4.3,1.7,967,0.642,8.235,4.5005,-0.5,1.1,0
1,589,2020-11-02,2.284,-0.1,0.4,89.2,0.8,142.1,96.4,1.1,1.6,960,-1.225,0.014,0.047,-0.2,0.4,0
3,592,2020-11-05,2.071,-5.55,0.4,83.4,2.15,160.4,69.5,2.05,1.6,967.5,-8.245,0.0005,0.0275,-0.05,0.75,0
2,594,2020-11-07,2.33525,-12.05,1.35,83,6.05,163.575,62.05,2.4,1.3,974.5,-14.74,21.76025,51.99225,-0.025,0.4,10.625
1,595,2020-11-08,2.647,-6.2,2.4,80.1,27,195,50.3,5,2.1,979,-10.58,0.001,0.034,-0.4,0.7,0
1,596,2020-11-09,2.129785714,-3.385714286,0.685714286,68.55714286,4.035714286,150.8642857,27.80714286,10.95714286,3.457142857,965.6428571,-8.434285714,23.75735714,48.334,0.164285714,1.7,38.67857143
1,597,2020-11-10,2.109,-1.9,0.1,69.6,0.9,142.8,12.5,5.8,1.9,959,-6.706,0,0.045,0.1,0.5,0
1,598,2020-11-11,2.24025,-15.125,2.325,68.775,10.375,165.35,24.45,5.025,1.75,978.25,-19.3425,106.94925,67.8615,0,0.95,39.375
2,600,2020-11-13,2.506,-10.95,0.65,85.1,0.3,140.25,13.4,10.85,2.4,950,-9.945,0.4335,0.302,0,0.6,16.4
7,607,2020-11-20,2.093777778,-11.3,0.722222222,72.5,5.988888889,159.3666667,20.73333333,9.488888889,2.766666667,981.1111111,-15.64111111,15.40355556,41.47911111,0.111111111,1.3,41.66666667
1,608,2020-11-21,2.24,-14.9,0.5,85,1.6,148.3,21.4,6.7,2,976,-16.26,0,0.042,-0.5,0.4,0
2,610,2020-11-23,2.3125,-7.15,0.975,83.625,6.325,171.425,26.95,6.3,2.225,970.25,-9.915,0.00025,0.035,-0.175,1.225,0
1,611,2020-11-24,2.1384,-4.58,0.56,81.22,4.74,162.4,30.34,8,2.9,964.8,-7.668,20.2662,32.8768,0.16,1.28,13.74
1,612,2020-11-25,2.362,-1.95,0.3,86.3,1.9,143.05,17.85,5.9,1.7,955.5,-3.277,0,0.048,-0.2,0.5,0
1,613,2020-11-26,2.464,-11,1.2,78.1,0.4,140,9.8,11.5,1.9,969,-13.65,47,187.8,0.2,1.2,114.5
2,615,2020-11-28,2.121,-7.9,2,69.8,15.1,181.5,63.2,2.3,1.7,975,-13.36,160.6,159.8,0,0.6,113.8
1,616,2020-11-29,2.289,-3.5,2.6,67.6,16.5,173.45,73.85,5.1,3.5,969.5,-7.5,38.33,23.6785,-0.7,1.95,5.75
1,617,2020-11-30,2.363666667,-3.666666667,0.933333333,68.13333333,0.7,143.7333333,24.9,10.13333333,3.333333333,954.3333333,-7.977666667,25.03,14.428,-0.033333333,0.733333333,3.733333333
1,618,2020-12-01,2.1902,0.58,0.54,54.26,2.68,146.5,18.9,8.2,2.28,978.4,-7.301,55.8202,35.1324,-0.18,1.3,12.34
1,619,2020-12-02,2.309,4.5,2.6,63.4,5.8,141.6,57.2,3,1.5,978,-2.15,131.9,101.5,-0.5,1.6,41.2
1,620,2020-12-03,2.378,-2.133333333,1.766666667,78.06666667,1.2,144.7333333,26.16666667,8.433333333,2.666666667,972.6666667,-4.147,33.348,27.05933333,-0.3,0.966666667,3.266666667
1,621,2020-12-04,2.186,1.633333333,0.8,86.03333333,0.9,161.2666667,64.2,3.066666667,2.466666667,974.3333333,-0.121666667,17.08,19.60633333,-0.533333333,1.366666667,24.9
2,623,2020-12-06,2.332,3.65,1.5,63.5,3.5,163.85,56.75,4.45,2.65,968,-2.7235,73.6,47.5255,-0.5,1.35,24.15
1,624,2020-12-07,2.390375,7.15,1.1625,61.3625,8.7375,165.95,30.8375,8.6375,3.1625,964,0.0885,26.23875,18.406,-0.45,1.7,24.4375
1,625,2020-12-08,2.069,3.2,0.7,66.2,4.7,197.3,54.1,4,2.3,964,-2.597,35.22,24.11,-0.5,1.6,43.2
1,626,2020-12-09,2.1725,-3.4,1.4,89.45,5,163.4,54.7,4.45,2.45,968,-4.686,0,0.049,-0.35,0.5,0
1,627,2020-12-10,2.176,-2.9,0.8,82.7,6.2,149.4,46.1,4.6,1.9,975,-7.153,0,0.043,-0.1,0.4,0
1,628,2020-12-11,2.16,-6.5,0.66,77.6,3.98,164.26,27.45,6.59,2.25,981,-9.783,39.7174,23.1575,0.03,1.18,14.44
1,629,2020-12-12,2.093333333,-4.533333333,0.633333333,75.76666667,6.333333333,154.6666667,25.86666667,12.16666667,4.166666667,976,-8.165666667,0,0.047333333,0.133333333,2.166666667,0
1,630,2020-12-13,2.2535,-24.95,0.675,76.15,4.525,165.475,37.95,4.5,1.9,990.5,-33.4575,8.43575,8.1135,-0.325,0.7,43.6
1,631,2020-12-14,2.399,-18.7,0.7,78,0.2,191,83.3,0.8,1.1,982,-21.61,0,0.033,-0.2,0.6,0
11,642,2020-12-25,2.222,-1.3,0.9,92.2,2.4,179.6,88.6,1.2,1.1,974,-2.386,28.23,23.12,-0.1,0.2,6.4
2,644,2020-12-27,1.95,-13.6,0.8,87.3,4.1,182.4,72.3,1.4,1.1,982,-14.75,0,0.033,-0.1,0.5,0.3
3,647,2020-12-30,2.225,-14.26666667,1.366666667,84.8,0.1,143.1666667,15.73333333,7.5,1.9,967,-13.90666667,20.19333333,13.33666667,-0.033333333,0.5,57.73333333
